연번,업소명,업소도로명주소,지정일자
144,더조은마트,대전광역시 서구 대덕대로 150. 149동 지하1층 (갈마동. 큰마을아파트),2018-05-10
145,비타크린간판,대전광역시 서구 변동중로 71-3 (변동),2018-05-01
146,지에스25 갈마드림점,대전광역시 서구 갈마로 13-32 (갈마동),2018-04-26
147,씨유(CU) 뉴둔산월드점,대전광역시 서구 대덕대로233번길 20. 1층 (둔산동),2018-04-19
148,행복드림마트,대전광역시 서구 도산로282번길 54 (가장동),2018-04-16
149,원앙슈퍼,대전광역시 서구 관저북로 87. 1층 105호 (관저동. 원앙마을 1단지),2018-04-05
150,동화공인중개사사무소,대전광역시 서구 계룡로264번길 4 (월평동. 월평타운),2018-04-02
151,지에스25관저리슈빌점,대전광역시 서구 관저동로90번길 15. 상가동 103.104호 (관저동. 관저리슈빌),2018-04-02
152,씨유 대전변동향우점,대전광역시 서구 변동로 39 (변동),2018-03-30
153,향촌마트,대전광역시 서구 둔산로 15. 상가동 지하층 1호 (둔산동. 향촌아파트),2018-03-28
154,씨유 대전로데오점,대전광역시 서구 둔산남로 96. E.플러스빌딩 1층 103호 (탄방동),2018-03-22
155,에브리데이365정림점,대전광역시 서구 정림로 55. 지하층 101호 (정림동. 우성아파트1차),2018-03-21
156,씨유 둔산스마일점,대전광역시 서구 둔산로 136. 둔산타워 1층 102호 (둔산동),2018-03-18
157,관저대박공인중개사사무소,대전광역시 서구 관저로14번길 40. 비젼9 103호 (관저동),2018-03-12
158,CU대전정림사랑점,대전광역시 서구 정림로 55. 상가동 111.112.113호 (정림동. 우성아파트1차),2018-03-12
159,주식회사 제이앤에스마트도안점,대전광역시 서구 원도안로 51. 성광타워 113. 비01. 104. 105호 (가수원동),2018-03-12
160,(주)영마트 관저점,대전광역시 서구 구봉산북로 255 (관저동),2018-03-05
161,씨유 탄방주공점,대전광역시 서구 탄방로 53. 민승빌 1층 (탄방동),2018-02-28
162,장태산매점,대전광역시 서구 장안로 485 (장안동),2018-02-28
163,전자담배도마점,대전광역시 서구 배재로 116. 1층 102호 (도마동),2018-02-24
164,GS25 탄방한우리,대전광역시 서구 문정로90번길 57. 아이앤디 프라자 1층 106호 (탄방동),2018-02-21
165,씨유 대전탄방역점,대전광역시 서구 문정로48번길 지하 19. 탄방역 지하층 (탄방동),2018-02-14
166,지에스(GS)25 괴정고,대전광역시 서구 가장로 16 (괴정동),2018-02-08
167,목화할인마트,대전광역시 서구 계룡로354번길 106 (갈마동),2018-02-07
168,미니샵앤샵(MINI shop&shop),대전광역시 서구 복수동로 21-19. 상가동 1층 104호 (복수동. 초록마을1단지),2018-02-07
169,씨유 대전도마스타점,대전광역시 서구 계백로 1426. 114.115호 (도마동. 도마동써머스빌주상복합),2018-02-05
170,씨유 대전관저스타점,대전광역시 서구 도안남로 119. 1층 (관저동),2018-02-05
171,주식회사 지와이슈퍼마켓,대전광역시 서구 도산로 252 (가장동),2018-01-30
172,씨유 가수원형준사랑점,대전광역시 서구 도안동로11번길 32. 금성빌딩 105호 (가수원동),2018-01-31
173,금산철물건재,대전광역시 서구 동서대로 1116 (변동),2018-01-29
174,이마트24 대전용문점,대전광역시 서구 괴정로 151. 1층 105호 (용문동),2018-01-24
175,갈마복지매장,대전광역시 서구 갈마로85번길 19. 1층 101호 (갈마동),2018-01-22
176,지에스(GS)25정림플러스,대전광역시 서구 정림로77번길 1 (정림동),2018-01-22
177,지에스25둔산검찰청점,대전광역시 서구 둔산로123번길 43. KD빌딩 1층 (둔산동),2018-01-22
178,이마트24 대전월평타운점,대전광역시 서구 계룡로264번길 28-26 (월평동),2018-01-18
179,참 좋은,대전광역시 서구 원도안로 13-26. 1층 (가수원동),2018-01-12
180,상아정슈퍼,대전광역시 서구 대덕대로 415. 102호 (만년동. 상아아파트),2018-01-05
181,태양부동산중개사무소,대전광역시 서구 관저동로 99. 102호 (관저동),2018-01-05
182,콜마트,대전광역시 서구 갈마로 13-31. 2층 (갈마동),2018-01-03
183,우리할인마트,대전광역시 서구 청사로 5. 상가동 지하층 비102호 (월평동. 하나로아파트),2017-12-28
184,세븐일레븐 대전용문타운점,대전광역시 서구 괴정로 181. 1층 (용문동),2017-12-21
185,GS25 대전월평점,대전광역시 서구 월평동로 45. 1층 (월평동. 진달래아파트),2017-12-18
186,지에스25 월평주공점,대전광역시 서구 월평북로 11. 1층 102호 (월평동. 주공아파트),2017-12-18
187,데크라인건설,대전광역시 서구 제비네4길 81 (도마동),2017-12-18
188,지에스25 관저예미지점,대전광역시 서구 관저중로 33. 105호 (관저동. 관저예미지 명가의 풍경),2017-12-11
189,씨유괴정한민점,대전광역시 서구 괴정로116번길 41. 101호 (괴정동),2017-12-11
