"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",만년초등학교,대전광역시 서구 만년동 280,,36.367131,127.377288,대전광역시 서구청,둔산경찰서,Y,2,20,2020-02-10
"초등학교",성룡초등학교,대전광역시 서구 갈마역로125,,36.3618248781,127.373585,대전광역시 서구청,둔산경찰서,Y,5,8~20,2020-02-10
"초등학교",갈마초등학교,대전광역시 서구 월평동로2,,36.3559346951,127.3689741305,대전광역시 서구청,둔산경찰서,Y,3,20~25,2020-02-10
"초등학교",삼천초등학교,대전광역시 서구 둔산북로232-33,,36.3543679471,127.4010169361,대전광역시 서구청,둔산경찰서,Y,1,10~20,2020-02-10
"유치원",산성유치원,대전광역시 서구 동서대로 1063번길 14-26,,36.329789,127.3806297003,대전광역시 서구청,서부경찰서,N,0,6,2020-02-10
"초등학교",가장초등학교,대전광역시 서구 가장로150,,36.3306383288,127.3878688297,대전광역시 서구청,서부경찰서,Y,3,6~15,2020-02-10
"초등학교",탄방초등학교,대전광역시 서구 탄방로15,,36.3460418566,127.3909974965,대전광역시 서구청,둔산경찰서,Y,1,6~15,2020-02-10
"초등학교",둔원초등학교,대전광역시 서구 대덕대로112번길10,,36.3430904652,127.374989,대전광역시 서구청,둔산경찰서,Y,3,8~40,2020-02-10
"초등학교",문정초등학교,대전광역시 서구 문정로180,,36.3503791480,127.3962150419,대전광역시 서구청,둔산경찰서,Y,3,8~25,2020-02-10
"초등학교",샘머리초교,대전광역시 서구 유등로879,,36.3633982683,127.3932548093,대전광역시 서구청,둔산경찰서,Y,1,20,2020-02-10
"초등학교",백운초등학교,대전광역시 서구 계룡로576번길56,,36.3408470270,127.3844708117,대전광역시 서구청,서부경찰서,Y,1,6~10,2020-02-10
"초등학교",관저초등학교,대전광역시 서구 관저동로161,,36.3065605894,127.339971,대전광역시 서구청,서부경찰서,N,0,25,2020-02-10
"초등학교",변동초등학교,대전광역시 서구 유등로373,,36.3249754135,127.385691,대전광역시 서구청,서부경찰서,Y,3,6~8,2020-02-10
"초등학교",기성초등학교,대전광역시 서구 기성초교길 52,,36.248647,127.339427,대전광역시 서구청,서부경찰서,Y,1,6,2020-02-10
"초등학교",삼육초등학교,대전광역시 서구 도림1길15,,36.3119023787,127.3727082880,대전광역시 서구청,서부경찰서,Y,1,6,2020-02-10
"초등학교",서부초등학교,대전광역시 서구 동서대로968,,36.3335305574,127.3692649611,대전광역시 서구청,서부경찰서,Y,1,6~45,2020-02-10
"초등학교",금동초등학교,대전광역시 서구 관저로45,,36.2982173057,127.326386,대전광역시 서구청,서부경찰서,N,0,25~35,2020-02-10
